<oov> 1.0	oov
<SIL> 1.0	SIL
کھیل 1.0	K_H A_Y L
علینہ 1.0	A L II N A_A
ایشیا 1.0	A_Y S_H I J A_A
فضل 1.0	F A Z A L
حساب 1.0	H I S A_A B
لمحات 1.0	L A M H A_A T_D
زمرد 1.0	Z U M A R R U D_D
سوہنی 1.0	S O_O H N II
توانائی 1.0	T_D A V A_A N A_A II
بہمن 1.0	B AE_H H M A N
فٹنس 1.0	F I T N A S
نکتہ 1.0	N U K T_D A_A
کولنگ 1.0	K O_O L I N_G
نسیمہ 1.0	N A S II M A_A
اجالا 1.0	U D_Z A_A L A_A
ضیغم 1.0	Z AE G_G A M
حسام 1.0	H A S S A_A M
حسان 1.0	H I S S A_A N
ہنسنا 1.0	H A N S N A_A
فضا 1.0	F I Z A_A
ہنسنے 1.0	H A N S N A_Y
مفاہمت 1.0	M U F A_A H A M A T_D
ماموں 1.0	M A_A M O_O_N
کروائے 1.0	K A R V A_A A_Y
چھکے 1.0	TS_H A K K A_Y
دعوت 1.0	D_D A_A V A T_D
بالدستی 1.0	B A_A L D_D A S T_D II
شہزادی 1.0	S_H A H Z A_A D_D II
فضہ 1.0	F U Z A_A
ظرافت 1.0	Z A R A_A F A T_D
افسر 1.0	A F S A R
رکے 1.0	R U K A_Y
شائقین 1.0	S_H A_A I Q II N
بیدار 1.0	B A_Y D_D A_A R
تسلسل 1.0	T_D A S A L L U L
شفقت 1.0	S_H A F A Q Q A T_D
رکھ 1.0	R A K_H
نبٹنے 1.0	N I B A T N A_Y
آیئڈیالوجی 1.0	A_A A_Y D I J A_A L O_O D_Z II
دائرے 1.0	D_D A_A I R A_Y
علینا 1.0	A L II N A_A
برہان 1.0	B A R H A_A N
بائیکا 1.0	B A_A II K A_A
خانہ 1.0	X A_A N A_A
کرایوں 1.0	K A R A_A J O_O_N
روٹیاں 1.0	R O_O T II A_A_N
یکجہتی 1.0	J A D_Z D_Z A H T_D II
خانے 1.0	X A_A N A_Y
سہولیات 1.0	S U H U_U L J A_A T_D
پذیرائی 1.0	P A Z II R A_A II
سیتا 1.0	S II T_D A_A
اسفندیار 1.0	I S F A N D_D J A_A R
زیب 1.0	Z A_Y B
عطر 1.0	A T_D R
زیتون 1.0	Z II T_D U_U N
عطا 1.0	A T_D A_A
شاہ 1.0	S_H A_A
سحرش 1.0	S U H R I S_H
منسوخ 1.0	M A N S U_U X
زیر 1.0	Z II R
پتھر 1.0	P A T_D_H T_D_H A R
چکلالہ 1.0	TS A K L A_A L A_A
صدرِمملکت 1.0	S A D_D R A_Y M U M L A_Y K A T_D
زین 1.0	Z II N
خیالات 1.0	X A J A_A L A_A T_D
سوزوکی 1.0	S O Z U_U K II
باغات 1.0	B A_A G_G A_A T_D
سڑکی 1.0	S A R_R K II
نسل 1.0	N A S L
شاعر 1.0	S_H A_A I R
پالتے 1.0	P A_A L T_D A_Y
ثنا 1.0	S A N A_A
احباب 1.0	A H B A_A B
خانم 1.0	X A_A N A M
دلدوز 1.0	D_D I L D_D O_O Z
لندن 1.0	L A N D_D A N
مبشرہ 1.0	M U B S_H A R A_A
دلدادہ 1.0	D_D I D_D D_D A_A D_D A_A
بدنامی 1.0	B A D_D N A_A M II
سنسنی 1.0	S U N S N II
نوکروں 1.0	N O K A R O_O_N
شان 1.0	S_H A_A N
شام 1.0	S_H A_A M
مشقیں 1.0	M I S_H Q A_Y_N
حمود 1.0	H U M U_U D_D
منفی 1.0	M U N A F F II
نتھیا 1.0	N A T_D_H J I J A_A
علمی 1.0	A L M II
مالکہ 1.0	M A_A L A K A_A
شاد 1.0	S_H A_A D_D
خریدیں 1.0	X A R II D_D A_Y_N
عثمان 1.0	U S M A_A N
رخشندہ 1.0	R A X S_H A N D_D A_A
کوششیں 1.0	K O_O S_H I S_H A_Y_N
مقبولیت 1.0	M A Q B U_U L II J A T_D
مناسبت 1.0	M U N A_A S A B A T_D
سائز 1.0	S A_A I Z
ابر 1.0	A B A R
کرنا 1.0	K A R N A_A
منڈی 1.0	M U N D II
ابا 1.0	A B A_A
ایبٹ 1.0	AE B A T
بِن 1.0	B I N
کمروں 1.0	K A M R O_O_N
ملکی 1.0	M U L K II
موٹاپے 1.0	M O_O T A_A P A_Y
سائل 1.0	S A_A I L
ملکہ 1.0	M U L K A_A
فہیم 1.0	F A H II M
طور 1.0	T_D U_U R
خالدہ 1.0	X A_A L I D_D A_A
چوکیدار 1.0	TS O K A_Y D_D A_A R
نجومیوں 1.0	N U D_Z U_U M II O_O_N
قارون 1.0	Q A_A R U_U N
کارگل 1.0	K A_A R G A L
وکلاء 1.0	V U K A L A_A
اداکار 1.0	A D_D A_A K A_A R
کارگو 1.0	K A_A R G U_U
صغیر 1.0	S A G_G II R
موٹاپا 1.0	M O_O T A_A P A_A
موسمِ 1.0	M O S A M A_Y
شکیل 1.0	S_H A K II L
کرنی 1.0	K U R N II
جذبوں 1.0	D_Z A Z B O_O_N
شفاعت 1.0	S_H I F A_A A T_D
شکیب 1.0	S_H I K A_Y B
ہاجرہ 1.0	H A_A D_Z I R A_A
مفید 1.0	M U F II D_D
کرنے 1.0	K A R N A_Y
ختم 1.0	X A T_D M
مرکزی 1.0	M U R K A Z II
دوپہر 1.0	D_D O P AE_H H R
بیابان 1.0	B I J A_A B A_A N
اولاد 1.0	O L A_A D_D A
قسمت 1.0	Q I S M A T_D
گلنار 1.0	G U L N A_A R
احتساب 1.0	A_Y H T_D I S A_A B
اجلاس 1.0	A D_Z L A_A S
صاف 1.0	S A_A F
مدحت 1.0	M U D_D D_D A T_D
ٹوبہ 1.0	T O_O B A_A
غلام 1.0	G_G U L L A_A M
متعلق 1.0	M U T_D A A L L I Q
سمیعہ 1.0	S A M II A_A
الفت 1.0	A L F A T_D
جاؤں 1.0	D_Z A_A U_U_N
اجلال 1.0	A D_Z L A_A L
کروائی 1.0	K A R V A_A II
بچھا 1.0	B I TS_H A_A
چاک 1.0	TS A_A K
سدرہ 1.0	S A D_D D_D R A_A
تعمیرات 1.0	T_D A_A M II R A_A T_D
نظارہ 1.0	N A Z Z A_A R A_A
مراکز 1.0	M A R A_A K I Z
گودام 1.0	G U_U D_D A_A M
اٹھاؤ 1.0	U T_H A_A O_O
چاق 1.0	TS A_A Q
وعدہ 1.0	V A D_D A_A
چاپ 1.0	TS A_A P
