<oov> 1.0	oov
<SIL> 1.0	SIL
کھیل 1.0	KH AY L
علینہ 1.0	A L II N AA
ایشیا 1.0	AY SH I J AA
فضل 1.0	F A Z A L
حساب 1.0	H I S AA B
لمحات 1.0	L A M H AA TD
زمرد 1.0	Z U M A R R U DD
سوہنی 1.0	S OO H N II
توانائی 1.0	TD A V AA N AA II
بہمن 1.0	B AEH H M A N
فٹنس 1.0	F I T N A S
نکتہ 1.0	N U K TD AA
کولنگ 1.0	K OO L I NG
نسیمہ 1.0	N A S II M AA
اجالا 1.0	U DZ AA L AA
ضیغم 1.0	Z AE GG A M
حسام 1.0	H A S S AA M
حسان 1.0	H I S S AA N
ہنسنا 1.0	H A N S N AA
فضا 1.0	F I Z AA
ہنسنے 1.0	H A N S N AY
مفاہمت 1.0	M U F AA H A M A TD
ماموں 1.0	M AA M OON
کروائے 1.0	K A R V AA AY
چھکے 1.0	TSH A K K AY
دعوت 1.0	DD AA V A TD
بالدستی 1.0	B AA L DD A S TD II
شہزادی 1.0	SH A H Z AA DD II
فضہ 1.0	F U Z AA
ظرافت 1.0	Z A R AA F A TD
افسر 1.0	A F S A R
رکے 1.0	R U K AY
شائقین 1.0	SH AA I Q II N
بیدار 1.0	B AY DD AA R
تسلسل 1.0	TD A S A L L U L
شفقت 1.0	SH A F A Q Q A TD
رکھ 1.0	R A KH
نبٹنے 1.0	N I B A T N AY
آیئڈیالوجی 1.0	AA AY D I J AA L OO DZ II
دائرے 1.0	DD AA I R AY
علینا 1.0	A L II N AA
برہان 1.0	B A R H AA N
بائیکا 1.0	B AA II K AA
خانہ 1.0	X AA N AA
کرایوں 1.0	K A R AA J OON
روٹیاں 1.0	R OO T II AAN
یکجہتی 1.0	J A DZ DZ A H TD II
خانے 1.0	X AA N AY
سہولیات 1.0	S U H UU L J AA TD
پذیرائی 1.0	P A Z II R AA II
سیتا 1.0	S II TD AA
اسفندیار 1.0	I S F A N DD J AA R
زیب 1.0	Z AY B
عطر 1.0	A TD R
زیتون 1.0	Z II TD UU N
عطا 1.0	A TD AA
شاہ 1.0	SH AA
سحرش 1.0	S U H R I SH
منسوخ 1.0	M A N S UU X
زیر 1.0	Z II R
پتھر 1.0	P A TDH TDH A R
چکلالہ 1.0	TS A K L AA L AA
صدرِمملکت 1.0	S A DD R AY M U M L AY K A TD
زین 1.0	Z II N
خیالات 1.0	X A J AA L AA TD
سوزوکی 1.0	S O Z UU K II
باغات 1.0	B AA GG AA TD
سڑکی 1.0	S A RR K II
نسل 1.0	N A S L
شاعر 1.0	SH AA I R
پالتے 1.0	P AA L TD AY
ثنا 1.0	S A N AA
احباب 1.0	A H B AA B
خانم 1.0	X AA N A M
دلدوز 1.0	DD I L DD OO Z
لندن 1.0	L A N DD A N
مبشرہ 1.0	M U B SH A R AA
دلدادہ 1.0	DD I DD DD AA DD AA
بدنامی 1.0	B A DD N AA M II
سنسنی 1.0	S U N S N II
نوکروں 1.0	N O K A R OON
شان 1.0	SH AA N
شام 1.0	SH AA M
مشقیں 1.0	M I SH Q AYN
حمود 1.0	H U M UU DD
منفی 1.0	M U N A F F II
نتھیا 1.0	N A TDH J I J AA
علمی 1.0	A L M II
مالکہ 1.0	M AA L A K AA
شاد 1.0	SH AA DD
خریدیں 1.0	X A R II DD AYN
عثمان 1.0	U S M AA N
رخشندہ 1.0	R A X SH A N DD AA
کوششیں 1.0	K OO SH I SH AYN
مقبولیت 1.0	M A Q B UU L II J A TD
مناسبت 1.0	M U N AA S A B A TD
سائز 1.0	S AA I Z
ابر 1.0	A B A R
کرنا 1.0	K A R N AA
منڈی 1.0	M U N D II
ابا 1.0	A B AA
ایبٹ 1.0	AE B A T
بِن 1.0	B I N
کمروں 1.0	K A M R OON
ملکی 1.0	M U L K II
موٹاپے 1.0	M OO T AA P AY
سائل 1.0	S AA I L
ملکہ 1.0	M U L K AA
فہیم 1.0	F A H II M
طور 1.0	TD UU R
خالدہ 1.0	X AA L I DD AA
چوکیدار 1.0	TS O K AY DD AA R
نجومیوں 1.0	N U DZ UU M II OON
قارون 1.0	Q AA R UU N
کارگل 1.0	K AA R G A L
وکلاء 1.0	V U K A L AA
اداکار 1.0	A DD AA K AA R
کارگو 1.0	K AA R G UU
صغیر 1.0	S A GG II R
موٹاپا 1.0	M OO T AA P AA
موسمِ 1.0	M O S A M AY
شکیل 1.0	SH A K II L
کرنی 1.0	K U R N II
جذبوں 1.0	DZ A Z B OON
شفاعت 1.0	SH I F AA A TD
شکیب 1.0	SH I K AY B
ہاجرہ 1.0	H AA DZ I R AA
مفید 1.0	M U F II DD
کرنے 1.0	K A R N AY
ختم 1.0	X A TD M
مرکزی 1.0	M U R K A Z II
دوپہر 1.0	DD O P AEH H R
بیابان 1.0	B I J AA B AA N
اولاد 1.0	O L AA DD A
قسمت 1.0	Q I S M A TD
گلنار 1.0	G U L N AA R
احتساب 1.0	AY H TD I S AA B
اجلاس 1.0	A DZ L AA S
صاف 1.0	S AA F
مدحت 1.0	M U DD DD A TD
ٹوبہ 1.0	T OO B AA
غلام 1.0	GG U L L AA M
متعلق 1.0	M U TD A A L L I Q
سمیعہ 1.0	S A M II AA
الفت 1.0	A L F A TD
جاؤں 1.0	DZ AA UUN
اجلال 1.0	A DZ L AA L
کروائی 1.0	K A R V AA II
بچھا 1.0	B I TSH AA
چاک 1.0	TS AA K
سدرہ 1.0	S A DD DD R AA
تعمیرات 1.0	TD AA M II R AA TD
نظارہ 1.0	N A Z Z AA R AA
مراکز 1.0	M A R AA K I Z
گودام 1.0	G UU DD AA M
اٹھاؤ 1.0	U TH AA OO
چاق 1.0	TS AA Q
وعدہ 1.0	V A DD AA
چاپ 1.0	TS AA P
رہاہوں 1.0	R A H AA H OON
ڈسپنسریاں 1.0	D I S P A N S A R I J AAN
وعدے 1.0	V AA DD AY
وسط 1.0	V A S TD
قطا 1.0	Q I TD A N
حویلی 1.0	H A V II L II
منئی 1.0	M A N A II
شبنم 1.0	SH A B N A M
گھنٹوں 1.0	GH A N T OON
حباب 1.0	H A B AA B
غنڈہ 1.0	GG U N D AA
دھوبی 1.0	DDH OO B II
پونچھ 1.0	P UU N TSH
دہلی 1.0	DD AEH H L II
چار 1.0	TS AA R
سورج 1.0	S O R DZ
جھرنا 1.0	DZH A R N AA
مصیبت 1.0	M U S II B A TD
